"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 19 10:49:58 GMT 2022","Sun Jun 19 10:50:04 GMT 2022","5845","","TestUserRegister","","TestUserRegister","userRegistrationWithoutFullNameTest","userRegistrationWithoutFullNameTest()",""
"passed","Sun Jun 19 10:47:49 GMT 2022","Sun Jun 19 10:47:55 GMT 2022","6594","","TestFU14TeamPage","","TestFU14TeamPage","teamMembersTest","teamMembersTest()",""
"passed","Sun Jun 19 10:48:53 GMT 2022","Sun Jun 19 10:48:57 GMT 2022","4245","","TestAddNewBlogEntry","","TestAddNewBlogEntry","loginAsEditorTest","loginAsEditorTest()",""
"skipped","Sun Jun 19 10:48:28 GMT 2022","Sun Jun 19 10:48:28 GMT 2022","0","","TestFrontPage","","TestFrontPage","checkTitles","checkTitles()","Check the titles of the blog entries"
"broken","Sun Jun 19 10:49:23 GMT 2022","Sun Jun 19 10:49:50 GMT 2022","26224","","TestUserRegister","","TestUserRegister","userRegistrationTest","userRegistrationTest()",""
"passed","Sun Jun 19 10:48:42 GMT 2022","Sun Jun 19 10:48:53 GMT 2022","11049","","TestFrontPage","","TestFrontPage","checkSiteURL","checkSiteURL()","Check the url of the front page"
"passed","Sun Jun 19 10:47:48 GMT 2022","Sun Jun 19 10:47:49 GMT 2022","343","","TestFU14TeamPage","","TestFU14TeamPage","close","close()",""
"passed","Sun Jun 19 10:48:01 GMT 2022","Sun Jun 19 10:48:15 GMT 2022","13864","","TestFrontPage","","TestFrontPage","findLogo","findLogo()","Find the logo on the main page"
"passed","Sun Jun 19 10:47:29 GMT 2022","Sun Jun 19 10:47:35 GMT 2022","6393","","TestUserLogin","","TestUserLogin","loginRememberTest","loginRememberTest()",""
"passed","Sun Jun 19 10:49:50 GMT 2022","Sun Jun 19 10:49:56 GMT 2022","5838","","TestUserRegister","","TestUserRegister","resetUserDataTest","resetUserDataTest()",""
"passed","Sun Jun 19 10:47:22 GMT 2022","Sun Jun 19 10:47:29 GMT 2022","6808","","TestUserLogin","","TestUserLogin","loginTest","loginTest()",""
"passed","Sun Jun 19 10:47:42 GMT 2022","Sun Jun 19 10:47:48 GMT 2022","6010","","TestFU14TeamPage","","TestFU14TeamPage","fu14AboutTeamTest","fu14AboutTeamTest()",""
"skipped","Sun Jun 19 10:48:15 GMT 2022","Sun Jun 19 10:48:15 GMT 2022","0","","TestFrontPage","","TestFrontPage","allowCookies","allowCookies()","Allow cookies"
"passed","Sun Jun 19 10:47:35 GMT 2022","Sun Jun 19 10:47:37 GMT 2022","1984","","TestUserLogin","","TestUserLogin","navigateToLoginPageTest","navigateToLoginPageTest()",""
"passed","Sun Jun 19 10:49:56 GMT 2022","Sun Jun 19 10:49:58 GMT 2022","2252","","TestUserRegister","","TestUserRegister","openPageTest","openPageTest()",""
"failed","Sun Jun 19 10:48:28 GMT 2022","Sun Jun 19 10:48:42 GMT 2022","13165","","TestFrontPage","","TestFrontPage","isAllImagePresent","isAllImagePresent()","Check all the team photos are present in the carousel"
"passed","Sun Jun 19 10:48:15 GMT 2022","Sun Jun 19 10:48:28 GMT 2022","13152","","TestFrontPage","","TestFrontPage","numberOfBlogEntries","numberOfBlogEntries()","Check the number of the latest blog entries"
"passed","Sun Jun 19 10:47:37 GMT 2022","Sun Jun 19 10:47:42 GMT 2022","5111","","TestFU14TeamPage","","TestFU14TeamPage","numberOfTeamMembersTest","numberOfTeamMembersTest()",""
"broken","Sun Jun 19 10:48:57 GMT 2022","Sun Jun 19 10:49:23 GMT 2022","26603","","TestAddNewBlogEntry","","TestAddNewBlogEntry","createBlogEntryTest","createBlogEntryTest()",""
"passed","Sun Jun 19 10:47:55 GMT 2022","Sun Jun 19 10:48:01 GMT 2022","5957","","TestFU14TeamPage","","TestFU14TeamPage","saveToFileTest","saveToFileTest()",""
