"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 04 11:06:14 GMT 2022","Mon Jul 04 11:06:52 GMT 2022","37726","","BlogsPageTest","","BlogsPageTest","TestCountBlogEntries","TestCountBlogEntries()","Test Case 22"
"passed","Mon Jul 04 11:05:18 GMT 2022","Mon Jul 04 11:05:25 GMT 2022","7097","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationWithoutFullName","TestUserRegistrationWithoutFullName()","Test Case 09"
"passed","Mon Jul 04 11:07:51 GMT 2022","Mon Jul 04 11:08:00 GMT 2022","8952","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestDeleteBlogEntry","TestDeleteBlogEntry()","Test Case 20"
"passed","Mon Jul 04 11:08:06 GMT 2022","Mon Jul 04 11:08:11 GMT 2022","5428","","AddNewBlogEntryTest","","AddNewBlogEntryTest","testLoginAsEditor","testLoginAsEditor()","Test Case 16"
"passed","Mon Jul 04 11:08:26 GMT 2022","Mon Jul 04 11:08:32 GMT 2022","5944","","FU14TeamPageTest","","FU14TeamPageTest","TestFu14AboutTeam","TestFu14AboutTeam()","Test Case 26"
"passed","Mon Jul 04 11:06:03 GMT 2022","Mon Jul 04 11:06:14 GMT 2022","10583","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationFromFile","TestUserRegistrationFromFile()","Test Case 12"
"failed","Mon Jul 04 11:08:58 GMT 2022","Mon Jul 04 11:09:15 GMT 2022","16464","","FrontPageTest","","FrontPageTest","TestTitles","TestTitles()","Test Case 04"
"passed","Mon Jul 04 11:08:32 GMT 2022","Mon Jul 04 11:08:37 GMT 2022","5287","","FU14TeamPageTest","","FU14TeamPageTest","TestNumberOfTeamMembers","TestNumberOfTeamMembers()","Test Case 25"
"passed","Mon Jul 04 11:07:24 GMT 2022","Mon Jul 04 11:07:48 GMT 2022","24268","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestChangeBlogTitle","TestChangeBlogTitle()","Test Case 18"
"passed","Mon Jul 04 11:05:31 GMT 2022","Mon Jul 04 11:05:37 GMT 2022","5647","","UserRegisterTest","","UserRegisterTest","TestOpenRegisterPage","TestOpenRegisterPage()","Test Case 08"
"failed","Mon Jul 04 11:09:58 GMT 2022","Mon Jul 04 11:10:14 GMT 2022","16095","","FrontPageTest","","FrontPageTest","TestIsAllImagePresent","TestIsAllImagePresent()","Test Case 06"
"passed","Mon Jul 04 11:09:15 GMT 2022","Mon Jul 04 11:09:33 GMT 2022","18919","","FrontPageTest","","FrontPageTest","TestAllowCookies","TestAllowCookies()","Test Case 07"
"passed","Mon Jul 04 11:08:43 GMT 2022","Mon Jul 04 11:08:58 GMT 2022","14853","","FrontPageTest","","FrontPageTest","TestSiteURL","TestSiteURL()","Test Case 01"
"skipped","Mon Jul 04 11:08:43 GMT 2022","Mon Jul 04 11:08:43 GMT 2022","0","","FrontPageTest","","FrontPageTest","TestIsReadMoreWorks","TestIsReadMoreWorks()","Test Case 05"
"passed","Mon Jul 04 11:10:14 GMT 2022","Mon Jul 04 11:10:31 GMT 2022","17055","","FrontPageTest","","FrontPageTest","TestNumberOfBlogEntries","TestNumberOfBlogEntries()","Test Case 03"
"passed","Mon Jul 04 11:10:42 GMT 2022","Mon Jul 04 11:10:49 GMT 2022","6884","","UserLoginTest","","UserLoginTest","TestLogin","TestLogin()","Test Case TC14"
"passed","Mon Jul 04 11:05:25 GMT 2022","Mon Jul 04 11:05:31 GMT 2022","6427","","UserRegisterTest","","UserRegisterTest","TestResetUserData","TestResetUserData()","Test Case 10"
"broken","Mon Jul 04 11:05:37 GMT 2022","Mon Jul 04 11:06:03 GMT 2022","26467","","UserRegisterTest","","UserRegisterTest","TestUserRegistration","TestUserRegistration()","Test Case 11"
"passed","Mon Jul 04 11:08:00 GMT 2022","Mon Jul 04 11:08:06 GMT 2022","5893","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestLogOutEditorUser","TestLogOutEditorUser()","Test Case 21"
"failed","Mon Jul 04 11:06:52 GMT 2022","Mon Jul 04 11:07:24 GMT 2022","32138","","BlogsPageTest","","BlogsPageTest","TestTitlesOfTheBlogEntries","TestTitlesOfTheBlogEntries()","Test Case 23"
"passed","Mon Jul 04 11:08:11 GMT 2022","Mon Jul 04 11:08:26 GMT 2022","14140","","AddNewBlogEntryTest","","AddNewBlogEntryTest","TestCreateBlogEntry","TestCreateBlogEntry()","Test Case 17"
"passed","Mon Jul 04 11:10:36 GMT 2022","Mon Jul 04 11:10:42 GMT 2022","6191","","UserLoginTest","","UserLoginTest","TestLoginRemember","TestLoginRemember()","Test Case 15"
"passed","Mon Jul 04 11:07:48 GMT 2022","Mon Jul 04 11:07:51 GMT 2022","3096","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestSaveBlogTitleAndDate","TestSaveBlogTitleAndDate()","Test Case 19"
"passed","Mon Jul 04 11:10:31 GMT 2022","Mon Jul 04 11:10:36 GMT 2022","5408","","UserLoginTest","","UserLoginTest","TestNavigateToLoginPage","TestNavigateToLoginPage()","Test Case 13"
"passed","Mon Jul 04 11:09:33 GMT 2022","Mon Jul 04 11:09:58 GMT 2022","24072","","FrontPageTest","","FrontPageTest","TestFindLogo","TestFindLogo()","Test Case 02"
"passed","Mon Jul 04 11:08:37 GMT 2022","Mon Jul 04 11:08:43 GMT 2022","6329","","FU14TeamPageTest","","FU14TeamPageTest","TestTeamMembers","TestTeamMembers()","Test Case 24"
