"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 20:33:15 GMT 2022","Tue Jun 28 20:33:21 GMT 2022","6196","","TestUserLogin","","TestUserLogin","loginTest","loginTest()","Test user login without remember me function - TC14"
"passed","Tue Jun 28 20:31:01 GMT 2022","Tue Jun 28 20:31:05 GMT 2022","4575","","TestAddNewBlogEntry","","TestAddNewBlogEntry","loginAsEditorTest","loginAsEditorTest()","User login as editor - TC16"
"failed","Tue Jun 28 20:31:50 GMT 2022","Tue Jun 28 20:32:19 GMT 2022","28446","","TestBlogsPage","","TestBlogsPage","countBlogEntriesTest","countBlogEntriesTest()","Check the number of the blog entries - TC22"
"passed","Tue Jun 28 20:40:45 GMT 2022","Tue Jun 28 20:40:51 GMT 2022","5894","","TestFU14TeamPage","","TestFU14TeamPage","fu14AboutTeamTest","fu14AboutTeamTest()","Test FU14 team about us text"
"failed","Tue Jun 28 20:31:19 GMT 2022","Tue Jun 28 20:31:50 GMT 2022","31049","","TestBlogsPage","","TestBlogsPage","titleBlogEntriesTest","titleBlogEntriesTest()","Check the title of the blog entries - TC23"
"passed","Tue Jun 28 20:33:09 GMT 2022","Tue Jun 28 20:33:15 GMT 2022","6334","","TestUserRegister","","TestUserRegister","userRegistrationWithoutFullNameTest","userRegistrationWithoutFullNameTest()","Register a new user without full name - TC09"
"passed","Tue Jun 28 20:31:06 GMT 2022","Tue Jun 28 20:31:19 GMT 2022","13518","","TestAddNewBlogEntry","","TestAddNewBlogEntry","createBlogEntryTest","createBlogEntryTest()","Login and create a new blog entry - TC17"
"passed","Tue Jun 28 20:40:39 GMT 2022","Tue Jun 28 20:40:40 GMT 2022","334","","FrontPageTest","","FrontPageTest","isReadMoreWorksTest","isReadMoreWorksTest()","Test Case 05"
"passed","Tue Jun 28 20:33:49 GMT 2022","Tue Jun 28 20:34:08 GMT 2022","19013","","FrontPageTest","","FrontPageTest","allowCookiesTest","allowCookiesTest()","Test Case 07"
"passed","Tue Jun 28 20:40:57 GMT 2022","Tue Jun 28 20:41:04 GMT 2022","6927","","TestEditBlogEntryPage","","TestEditBlogEntryPage","deleteBlogEntryTest","deleteBlogEntryTest()","Delete the blog entry - TC20"
"passed","Tue Jun 28 20:41:28 GMT 2022","Tue Jun 28 20:41:33 GMT 2022","4617","","TestEditBlogEntryPage","","TestEditBlogEntryPage","logOutEditorUserTest","logOutEditorUserTest()","Log out editor user - TC21"
"broken","Tue Jun 28 20:40:03 GMT 2022","Tue Jun 28 20:40:39 GMT 2022","36365","","FrontPageTest","","FrontPageTest","checkTitlesTest","checkTitlesTest()","Test Case 04"
"broken","Tue Jun 28 20:41:33 GMT 2022","Tue Jun 28 20:41:55 GMT 2022","22020","","TestEditBlogEntryPage","","TestEditBlogEntryPage","saveBlogTitleAndDateTest","saveBlogTitleAndDateTest()","Save the title and the date of the blog entry - TC19"
"passed","Tue Jun 28 20:32:46 GMT 2022","Tue Jun 28 20:32:51 GMT 2022","5654","","TestUserRegister","","TestUserRegister","openRegisterPageTest","openRegisterPageTest()","Navigate to the registration page - TC08"
