"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Test user login","0","0","3","0","0"
"","","Create blog entry","0","0","2","0","0"
"","","Test the blog entries","2","0","0","0","0"
"","","Test team page","0","0","3","0","0"
"","","Test user registration","0","1","4","0","0"
"Regression tests","Test the front page of the site","Check the read more button","0","0","1","0","0"
"Regression tests","Test the front page of the site","Allow cookies","0","0","1","0","0"
"","","Edit blog entry","0","2","2","0","0"
"Regression tests","Test the front page of the site","Check the titles of the blog entries","0","1","0","0","0"
"Regression tests","Test the front page of the site","Check the number of the latest blog entries","0","1","0","0","0"
"Regression tests","Test the front page of the site","Check the url of the front page","0","0","1","0","0"
"Regression tests","Test the front page of the site","Find the logo on the main page","0","0","1","0","0"
"Regression tests","Test the front page of the site","Check all the team photos are present in the carousel","1","0","0","0","0"
