"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 19 09:59:13 GMT 2022","Sun Jun 19 09:59:13 GMT 2022","405","","TestFU14TeamPage","","TestFU14TeamPage","close","close()",""
"passed","Sun Jun 19 10:00:06 GMT 2022","Sun Jun 19 10:00:17 GMT 2022","11362","","TestFrontPage","","TestFrontPage","checkSiteURL","checkSiteURL()","Check the url of the front page"
"skipped","Sun Jun 19 09:59:53 GMT 2022","Sun Jun 19 09:59:53 GMT 2022","0","","TestFrontPage","","TestFrontPage","checkTitles","checkTitles()","Check the titles of the blog entries"
"failed","Sun Jun 19 10:01:20 GMT 2022","Sun Jun 19 10:01:26 GMT 2022","5645","","TestUserRegister","","TestUserRegister","userRegistrationWithoutFullNameTest","userRegistrationWithoutFullNameTest()",""
"passed","Sun Jun 19 09:58:54 GMT 2022","Sun Jun 19 09:59:00 GMT 2022","6308","","TestUserLogin","","TestUserLogin","loginRememberTest","loginRememberTest()",""
"passed","Sun Jun 19 10:01:13 GMT 2022","Sun Jun 19 10:01:18 GMT 2022","5722","","TestUserRegister","","TestUserRegister","resetUserDataTest","resetUserDataTest()",""
"passed","Sun Jun 19 09:59:02 GMT 2022","Sun Jun 19 09:59:07 GMT 2022","5112","","TestFU14TeamPage","","TestFU14TeamPage","numberOfTeamMembersTest","numberOfTeamMembersTest()",""
"failed","Sun Jun 19 09:59:53 GMT 2022","Sun Jun 19 10:00:06 GMT 2022","12448","","TestFrontPage","","TestFrontPage","isAllImagePresent","isAllImagePresent()","Check all the team photos are present in the carousel"
"passed","Sun Jun 19 09:59:20 GMT 2022","Sun Jun 19 09:59:25 GMT 2022","5892","","TestFU14TeamPage","","TestFU14TeamPage","saveToFileTest","saveToFileTest()",""
"passed","Sun Jun 19 10:01:18 GMT 2022","Sun Jun 19 10:01:20 GMT 2022","2034","","TestUserRegister","","TestUserRegister","openPageTest","openPageTest()",""
"passed","Sun Jun 19 09:59:39 GMT 2022","Sun Jun 19 09:59:53 GMT 2022","14505","","TestFrontPage","","TestFrontPage","numberOfBlogEntries","numberOfBlogEntries()","Check the number of the latest blog entries"
"skipped","Sun Jun 19 09:59:39 GMT 2022","Sun Jun 19 09:59:39 GMT 2022","0","","TestFrontPage","","TestFrontPage","allowCookies","allowCookies()","Allow cookies"
"broken","Sun Jun 19 10:00:46 GMT 2022","Sun Jun 19 10:01:13 GMT 2022","26253","","TestUserRegister","","TestUserRegister","userRegistrationTest","userRegistrationTest()",""
"passed","Sun Jun 19 09:59:00 GMT 2022","Sun Jun 19 09:59:02 GMT 2022","1853","","TestUserLogin","","TestUserLogin","navigateToLoginPageTest","navigateToLoginPageTest()",""
"passed","Sun Jun 19 09:58:47 GMT 2022","Sun Jun 19 09:58:53 GMT 2022","6880","","TestUserLogin","","TestUserLogin","loginTest","loginTest()",""
"passed","Sun Jun 19 09:59:13 GMT 2022","Sun Jun 19 09:59:20 GMT 2022","6292","","TestFU14TeamPage","","TestFU14TeamPage","teamMembersTest","teamMembersTest()",""
"passed","Sun Jun 19 09:59:07 GMT 2022","Sun Jun 19 09:59:13 GMT 2022","5892","","TestFU14TeamPage","","TestFU14TeamPage","fu14AboutTeamTest","fu14AboutTeamTest()",""
"passed","Sun Jun 19 09:59:25 GMT 2022","Sun Jun 19 09:59:39 GMT 2022","13150","","TestFrontPage","","TestFrontPage","findLogo","findLogo()","Find the logo on the main page"
"passed","Sun Jun 19 10:00:17 GMT 2022","Sun Jun 19 10:00:21 GMT 2022","3634","","TestAddNewBlogEntry","","TestAddNewBlogEntry","loginAsEditorTest","loginAsEditorTest()",""
"broken","Sun Jun 19 10:00:21 GMT 2022","Sun Jun 19 10:00:46 GMT 2022","25713","","TestAddNewBlogEntry","","TestAddNewBlogEntry","createBlogEntryTest","createBlogEntryTest()",""
