"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 08:21:17 GMT 2022","Mon Jul 04 08:21:23 GMT 2022","5564","","UserLoginTest","","UserLoginTest","TestNavigateToLoginPage","TestNavigateToLoginPage()","Test Case 13"
"passed","Mon Jul 04 08:17:28 GMT 2022","Mon Jul 04 08:18:02 GMT 2022","34004","","BlogsPageTest","","BlogsPageTest","TestTitlesOfTheBlogEntries","TestTitlesOfTheBlogEntries()","Test Case 23"
"passed","Mon Jul 04 08:18:31 GMT 2022","Mon Jul 04 08:18:42 GMT 2022","11163","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestDeleteBlogEntry","TestDeleteBlogEntry()","Test Case 20"
"passed","Mon Jul 04 08:18:42 GMT 2022","Mon Jul 04 08:18:48 GMT 2022","6142","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestLogOutEditorUser","TestLogOutEditorUser()","Test Case 21"
"passed","Mon Jul 04 08:19:08 GMT 2022","Mon Jul 04 08:19:14 GMT 2022","6177","","FU14TeamPageTest","","FU14TeamPageTest","TestFu14AboutTeam","TestFu14AboutTeam()","Test Case 26"
"passed","Mon Jul 04 08:20:30 GMT 2022","Mon Jul 04 08:20:47 GMT 2022","17544","","FrontPageTest","","FrontPageTest","TestFindLogo","TestFindLogo()","Test Case 02"
"passed","Mon Jul 04 08:19:14 GMT 2022","Mon Jul 04 08:19:20 GMT 2022","5428","","FU14TeamPageTest","","FU14TeamPageTest","TestNumberOfTeamMembers","TestNumberOfTeamMembers()","Test Case 25"
"passed","Mon Jul 04 08:19:20 GMT 2022","Mon Jul 04 08:19:27 GMT 2022","7049","","FU14TeamPageTest","","FU14TeamPageTest","TestTeamMembers","TestTeamMembers()","Test Case 24"
"passed","Mon Jul 04 08:21:30 GMT 2022","Mon Jul 04 08:21:37 GMT 2022","6625","","UserLoginTest","","UserLoginTest","TestLogin","TestLogin()","Test Case TC14"
"skipped","Mon Jul 04 08:19:27 GMT 2022","Mon Jul 04 08:19:27 GMT 2022","0","","FrontPageTest","","FrontPageTest","TestIsReadMoreWorks","TestIsReadMoreWorks()","Test Case 05"
"passed","Mon Jul 04 08:18:54 GMT 2022","Mon Jul 04 08:19:08 GMT 2022","14408","","AddNewBlogEntryTest","","AddNewBlogEntryTest","TestCreateBlogEntry","TestCreateBlogEntry()","Test Case 17"
"passed","Mon Jul 04 08:21:02 GMT 2022","Mon Jul 04 08:21:17 GMT 2022","15484","","FrontPageTest","","FrontPageTest","TestNumberOfBlogEntries","TestNumberOfBlogEntries()","Test Case 03"
"passed","Mon Jul 04 08:19:27 GMT 2022","Mon Jul 04 08:19:54 GMT 2022","27562","","FrontPageTest","","FrontPageTest","TestSiteURL","TestSiteURL()","Test Case 01"
"passed","Mon Jul 04 08:18:29 GMT 2022","Mon Jul 04 08:18:31 GMT 2022","2347","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestSaveBlogTitleAndDate","TestSaveBlogTitleAndDate()","Test Case 19"
"passed","Mon Jul 04 08:21:23 GMT 2022","Mon Jul 04 08:21:30 GMT 2022","7036","","UserLoginTest","","UserLoginTest","TestLoginRemember","TestLoginRemember()","Test Case 15"
"passed","Mon Jul 04 08:19:54 GMT 2022","Mon Jul 04 08:20:12 GMT 2022","18055","","FrontPageTest","","FrontPageTest","TestTitles","TestTitles()","Test Case 04"
"passed","Mon Jul 04 08:16:04 GMT 2022","Mon Jul 04 08:16:10 GMT 2022","6071","","UserRegisterTest","","UserRegisterTest","TestOpenRegisterPage","TestOpenRegisterPage()","Test Case 08"
"passed","Mon Jul 04 08:18:48 GMT 2022","Mon Jul 04 08:18:54 GMT 2022","5307","","AddNewBlogEntryTest","","AddNewBlogEntryTest","testLoginAsEditor","testLoginAsEditor()","Test Case 16"
"passed","Mon Jul 04 08:15:57 GMT 2022","Mon Jul 04 08:16:04 GMT 2022","6937","","UserRegisterTest","","UserRegisterTest","TestResetUserData","TestResetUserData()","Test Case 10"
"passed","Mon Jul 04 08:16:37 GMT 2022","Mon Jul 04 08:16:48 GMT 2022","11429","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationFromFile","TestUserRegistrationFromFile()","Test Case 12"
"broken","Mon Jul 04 08:16:10 GMT 2022","Mon Jul 04 08:16:37 GMT 2022","26925","","UserRegisterTest","","UserRegisterTest","TestUserRegistration","TestUserRegistration()","Test Case 11"
"broken","Mon Jul 04 08:18:02 GMT 2022","Mon Jul 04 08:18:29 GMT 2022","26700","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestChangeBlogTitle","TestChangeBlogTitle()","Test Case 18"
"passed","Mon Jul 04 08:15:50 GMT 2022","Mon Jul 04 08:15:57 GMT 2022","7362","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationWithoutFullName","TestUserRegistrationWithoutFullName()","Test Case 09"
"passed","Mon Jul 04 08:20:12 GMT 2022","Mon Jul 04 08:20:30 GMT 2022","17520","","FrontPageTest","","FrontPageTest","TestAllowCookies","TestAllowCookies()","Test Case 07"
"failed","Mon Jul 04 08:20:47 GMT 2022","Mon Jul 04 08:21:02 GMT 2022","14665","","FrontPageTest","","FrontPageTest","TestIsAllImagePresent","TestIsAllImagePresent()","Test Case 06"
"passed","Mon Jul 04 08:16:48 GMT 2022","Mon Jul 04 08:17:28 GMT 2022","39373","","BlogsPageTest","","BlogsPageTest","TestCountBlogEntries","TestCountBlogEntries()","Test Case 22"
