"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 17:07:11 GMT 2022","Sun Jul 03 17:07:27 GMT 2022","15452","","FrontPageTest","","FrontPageTest","TestSiteURL","TestSiteURL()","Test Case 01"
"passed","Sun Jul 03 17:04:40 GMT 2022","Sun Jul 03 17:05:10 GMT 2022","30224","","BlogsPageTest","","BlogsPageTest","TestCountBlogEntries","TestCountBlogEntries()","Test Case 22"
"passed","Sun Jul 03 17:03:49 GMT 2022","Sun Jul 03 17:03:56 GMT 2022","6651","","UserRegisterTest","","UserRegisterTest","TestResetUserData","TestResetUserData()","Test Case 10"
"passed","Sun Jul 03 17:09:24 GMT 2022","Sun Jul 03 17:09:32 GMT 2022","7567","","UserLoginTest","","UserLoginTest","TestLogin","TestLogin()","Test Case TC14"
"passed","Sun Jul 03 17:08:04 GMT 2022","Sun Jul 03 17:08:23 GMT 2022","19557","","FrontPageTest","","FrontPageTest","TestAllowCookies","TestAllowCookies()","Test Case 07"
"passed","Sun Jul 03 17:08:23 GMT 2022","Sun Jul 03 17:08:40 GMT 2022","16997","","FrontPageTest","","FrontPageTest","TestFindLogo","TestFindLogo()","Test Case 02"
"passed","Sun Jul 03 17:09:12 GMT 2022","Sun Jul 03 17:09:18 GMT 2022","5778","","UserLoginTest","","UserLoginTest","TestNavigateToLoginPage","TestNavigateToLoginPage()","Test Case 13"
"passed","Sun Jul 03 17:05:10 GMT 2022","Sun Jul 03 17:05:44 GMT 2022","33738","","BlogsPageTest","","BlogsPageTest","TestTitlesOfTheBlogEntries","TestTitlesOfTheBlogEntries()","Test Case 23"
"broken","Sun Jul 03 17:05:44 GMT 2022","Sun Jul 03 17:06:09 GMT 2022","25399","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestChangeBlogTitle","TestChangeBlogTitle()","Test Case 18"
"passed","Sun Jul 03 17:03:56 GMT 2022","Sun Jul 03 17:04:02 GMT 2022","6034","","UserRegisterTest","","UserRegisterTest","TestOpenRegisterPage","TestOpenRegisterPage()","Test Case 08"
"passed","Sun Jul 03 17:07:04 GMT 2022","Sun Jul 03 17:07:11 GMT 2022","6827","","FU14TeamPageTest","","FU14TeamPageTest","TestTeamMembers","TestTeamMembers()","Test Case 24"
"passed","Sun Jul 03 17:06:24 GMT 2022","Sun Jul 03 17:06:31 GMT 2022","7014","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestLogOutEditorUser","TestLogOutEditorUser()","Test Case 21"
"passed","Sun Jul 03 17:06:31 GMT 2022","Sun Jul 03 17:06:37 GMT 2022","6297","","AddNewBlogEntryTest","","AddNewBlogEntryTest","testLoginAsEditor","testLoginAsEditor()","Test Case 16"
"broken","Sun Jul 03 17:07:27 GMT 2022","Sun Jul 03 17:08:04 GMT 2022","36918","","FrontPageTest","","FrontPageTest","TestTitles","TestTitles()","Test Case 04"
"passed","Sun Jul 03 17:06:52 GMT 2022","Sun Jul 03 17:06:59 GMT 2022","6351","","FU14TeamPageTest","","FU14TeamPageTest","TestFu14AboutTeam","TestFu14AboutTeam()","Test Case 26"
"failed","Sun Jul 03 17:08:40 GMT 2022","Sun Jul 03 17:08:56 GMT 2022","15375","","FrontPageTest","","FrontPageTest","TestIsAllImagePresent","TestIsAllImagePresent()","Test Case 06"
"passed","Sun Jul 03 17:06:09 GMT 2022","Sun Jul 03 17:06:12 GMT 2022","2496","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestSaveBlogTitleAndDate","TestSaveBlogTitleAndDate()","Test Case 19"
"passed","Sun Jul 03 17:06:37 GMT 2022","Sun Jul 03 17:06:52 GMT 2022","15411","","AddNewBlogEntryTest","","AddNewBlogEntryTest","TestCreateBlogEntry","TestCreateBlogEntry()","Test Case 17"
"passed","Sun Jul 03 17:08:56 GMT 2022","Sun Jul 03 17:09:12 GMT 2022","16343","","FrontPageTest","","FrontPageTest","TestNumberOfBlogEntries","TestNumberOfBlogEntries()","Test Case 03"
"passed","Sun Jul 03 17:04:28 GMT 2022","Sun Jul 03 17:04:40 GMT 2022","11219","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationFromFile","TestUserRegistrationFromFile()","Test Case 12"
"skipped","Sun Jul 03 17:07:11 GMT 2022","Sun Jul 03 17:07:11 GMT 2022","0","","FrontPageTest","","FrontPageTest","TestIsReadMoreWorks","TestIsReadMoreWorks()","Test Case 05"
"passed","Sun Jul 03 17:09:18 GMT 2022","Sun Jul 03 17:09:24 GMT 2022","6691","","UserLoginTest","","UserLoginTest","TestLoginRemember","TestLoginRemember()","Test Case 15"
"passed","Sun Jul 03 17:06:59 GMT 2022","Sun Jul 03 17:07:04 GMT 2022","5598","","FU14TeamPageTest","","FU14TeamPageTest","TestNumberOfTeamMembers","TestNumberOfTeamMembers()","Test Case 25"
"passed","Sun Jul 03 17:09:32 GMT 2022","Sun Jul 03 17:09:41 GMT 2022","9248","","SandBoxPageTest","","SandBoxPageTest","titleTest","titleTest()",""
"passed","Sun Jul 03 17:06:12 GMT 2022","Sun Jul 03 17:06:24 GMT 2022","12118","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestDeleteBlogEntry","TestDeleteBlogEntry()","Test Case 20"
"passed","Sun Jul 03 17:03:41 GMT 2022","Sun Jul 03 17:03:49 GMT 2022","7308","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationWithoutFullName","TestUserRegistrationWithoutFullName()","Test Case 09"
"broken","Sun Jul 03 17:04:02 GMT 2022","Sun Jul 03 17:04:28 GMT 2022","26862","","UserRegisterTest","","UserRegisterTest","TestUserRegistration","TestUserRegistration()","Test Case 11"
