"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 08:12:31 GMT 2022","Mon Jul 04 08:12:38 GMT 2022","7115","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationWithoutFullName","TestUserRegistrationWithoutFullName()","Test Case 09"
"skipped","Mon Jul 04 08:16:08 GMT 2022","Mon Jul 04 08:16:08 GMT 2022","0","","FrontPageTest","","FrontPageTest","TestIsReadMoreWorks","TestIsReadMoreWorks()","Test Case 05"
"passed","Mon Jul 04 08:15:13 GMT 2022","Mon Jul 04 08:15:23 GMT 2022","10544","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestDeleteBlogEntry","TestDeleteBlogEntry()","Test Case 20"
"passed","Mon Jul 04 08:12:38 GMT 2022","Mon Jul 04 08:12:45 GMT 2022","6452","","UserRegisterTest","","UserRegisterTest","TestResetUserData","TestResetUserData()","Test Case 10"
"passed","Mon Jul 04 08:16:02 GMT 2022","Mon Jul 04 08:16:08 GMT 2022","6501","","FU14TeamPageTest","","FU14TeamPageTest","TestTeamMembers","TestTeamMembers()","Test Case 24"
"passed","Mon Jul 04 08:13:28 GMT 2022","Mon Jul 04 08:14:09 GMT 2022","40876","","BlogsPageTest","","BlogsPageTest","TestCountBlogEntries","TestCountBlogEntries()","Test Case 22"
"passed","Mon Jul 04 08:15:56 GMT 2022","Mon Jul 04 08:16:02 GMT 2022","5641","","FU14TeamPageTest","","FU14TeamPageTest","TestNumberOfTeamMembers","TestNumberOfTeamMembers()","Test Case 25"
"passed","Mon Jul 04 08:14:43 GMT 2022","Mon Jul 04 08:15:10 GMT 2022","26549","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestChangeBlogTitle","TestChangeBlogTitle()","Test Case 18"
"broken","Mon Jul 04 08:12:51 GMT 2022","Mon Jul 04 08:13:17 GMT 2022","26374","","UserRegisterTest","","UserRegisterTest","TestUserRegistration","TestUserRegistration()","Test Case 11"
"passed","Mon Jul 04 08:14:09 GMT 2022","Mon Jul 04 08:14:43 GMT 2022","34126","","BlogsPageTest","","BlogsPageTest","TestTitlesOfTheBlogEntries","TestTitlesOfTheBlogEntries()","Test Case 23"
"passed","Mon Jul 04 08:17:52 GMT 2022","Mon Jul 04 08:18:19 GMT 2022","27106","","FrontPageTest","","FrontPageTest","TestNumberOfBlogEntries","TestNumberOfBlogEntries()","Test Case 03"
"passed","Mon Jul 04 08:16:08 GMT 2022","Mon Jul 04 08:16:25 GMT 2022","16769","","FrontPageTest","","FrontPageTest","TestSiteURL","TestSiteURL()","Test Case 01"
"passed","Mon Jul 04 08:16:25 GMT 2022","Mon Jul 04 08:16:50 GMT 2022","24774","","FrontPageTest","","FrontPageTest","TestTitles","TestTitles()","Test Case 04"
"passed","Mon Jul 04 08:15:50 GMT 2022","Mon Jul 04 08:15:56 GMT 2022","6177","","FU14TeamPageTest","","FU14TeamPageTest","TestFu14AboutTeam","TestFu14AboutTeam()","Test Case 26"
"passed","Mon Jul 04 08:15:10 GMT 2022","Mon Jul 04 08:15:13 GMT 2022","2989","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestSaveBlogTitleAndDate","TestSaveBlogTitleAndDate()","Test Case 19"
"passed","Mon Jul 04 08:13:17 GMT 2022","Mon Jul 04 08:13:28 GMT 2022","10735","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationFromFile","TestUserRegistrationFromFile()","Test Case 12"
"passed","Mon Jul 04 08:18:25 GMT 2022","Mon Jul 04 08:18:31 GMT 2022","6172","","UserLoginTest","","UserLoginTest","TestLoginRemember","TestLoginRemember()","Test Case 15"
"passed","Mon Jul 04 08:15:23 GMT 2022","Mon Jul 04 08:15:30 GMT 2022","6242","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestLogOutEditorUser","TestLogOutEditorUser()","Test Case 21"
"passed","Mon Jul 04 08:16:50 GMT 2022","Mon Jul 04 08:17:06 GMT 2022","16186","","FrontPageTest","","FrontPageTest","TestAllowCookies","TestAllowCookies()","Test Case 07"
"passed","Mon Jul 04 08:18:19 GMT 2022","Mon Jul 04 08:18:25 GMT 2022","5417","","UserLoginTest","","UserLoginTest","TestNavigateToLoginPage","TestNavigateToLoginPage()","Test Case 13"
"passed","Mon Jul 04 08:17:06 GMT 2022","Mon Jul 04 08:17:32 GMT 2022","25845","","FrontPageTest","","FrontPageTest","TestFindLogo","TestFindLogo()","Test Case 02"
"passed","Mon Jul 04 08:12:45 GMT 2022","Mon Jul 04 08:12:51 GMT 2022","6156","","UserRegisterTest","","UserRegisterTest","TestOpenRegisterPage","TestOpenRegisterPage()","Test Case 08"
"passed","Mon Jul 04 08:15:35 GMT 2022","Mon Jul 04 08:15:50 GMT 2022","14862","","AddNewBlogEntryTest","","AddNewBlogEntryTest","TestCreateBlogEntry","TestCreateBlogEntry()","Test Case 17"
"passed","Mon Jul 04 08:15:30 GMT 2022","Mon Jul 04 08:15:35 GMT 2022","5640","","AddNewBlogEntryTest","","AddNewBlogEntryTest","testLoginAsEditor","testLoginAsEditor()","Test Case 16"
"failed","Mon Jul 04 08:17:32 GMT 2022","Mon Jul 04 08:17:52 GMT 2022","20217","","FrontPageTest","","FrontPageTest","TestIsAllImagePresent","TestIsAllImagePresent()","Test Case 06"
"passed","Mon Jul 04 08:18:31 GMT 2022","Mon Jul 04 08:18:39 GMT 2022","7877","","UserLoginTest","","UserLoginTest","TestLogin","TestLogin()","Test Case TC14"
