"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 23 09:21:29 GMT 2022","Thu Jun 23 09:21:29 GMT 2022","131","","TestUserLogin","","TestUserLogin","loginRememberTest","loginRememberTest()","User login to site with remember me function"
"broken","Thu Jun 23 09:21:29 GMT 2022","Thu Jun 23 09:21:30 GMT 2022","150","","TestUserLogin","","TestUserLogin","navigateToLoginPageTest","navigateToLoginPageTest()","Navigate to user login page"
"broken","Thu Jun 23 09:21:28 GMT 2022","Thu Jun 23 09:21:28 GMT 2022","134","","TestUserRegister","","TestUserRegister","userRegistrationFromFileTest","userRegistrationFromFileTest()","Register a new users from file"
"broken","Thu Jun 23 09:21:27 GMT 2022","Thu Jun 23 09:21:28 GMT 2022","297","","TestAddNewBlogEntry","","TestAddNewBlogEntry","createBlogEntryTest","createBlogEntryTest()","Login and create a new blog entry"
"broken","Thu Jun 23 09:21:30 GMT 2022","Thu Jun 23 09:21:30 GMT 2022","130","","TestFU14TeamPage","","TestFU14TeamPage","fu14AboutTeamTest","fu14AboutTeamTest()","Test FU14 team about us text"
"broken","Thu Jun 23 09:21:30 GMT 2022","Thu Jun 23 09:21:30 GMT 2022","130","","TestFU14TeamPage","","TestFU14TeamPage","saveToFileTest","saveToFileTest()","Save FU14 team data to txt"
"broken","Thu Jun 23 09:21:29 GMT 2022","Thu Jun 23 09:21:29 GMT 2022","140","","TestFrontPage","","TestFrontPage","numberOfBlogEntries","numberOfBlogEntries()","Check the number of the latest blog entries"
"broken","Thu Jun 23 09:21:29 GMT 2022","Thu Jun 23 09:21:29 GMT 2022","134","","TestFrontPage","","TestFrontPage","checkSiteURL","checkSiteURL()","Check the url of the front page"
"broken","Thu Jun 23 09:21:30 GMT 2022","Thu Jun 23 09:21:30 GMT 2022","167","","TestFU14TeamPage","","TestFU14TeamPage","numberOfTeamMembersTest","numberOfTeamMembersTest()","Test FU14 team members number"
"broken","Thu Jun 23 09:21:28 GMT 2022","Thu Jun 23 09:21:28 GMT 2022","142","","TestUserRegister","","TestUserRegister","openRegisterPageTest","openRegisterPageTest()","Navigate to the registration page"
"broken","Thu Jun 23 09:21:28 GMT 2022","Thu Jun 23 09:21:28 GMT 2022","139","","TestUserRegister","","TestUserRegister","resetUserDataTest","resetUserDataTest()","Reset all the entered data from the fields"
"broken","Thu Jun 23 09:21:28 GMT 2022","Thu Jun 23 09:21:28 GMT 2022","134","","TestUserRegister","","TestUserRegister","userRegistrationWithoutFullNameTest","userRegistrationWithoutFullNameTest()","Register a new user without full name"
"broken","Thu Jun 23 09:21:29 GMT 2022","Thu Jun 23 09:21:29 GMT 2022","146","","TestUserLogin","","TestUserLogin","loginTest","loginTest()","Test user login without remember me function"
"broken","Thu Jun 23 09:21:27 GMT 2022","Thu Jun 23 09:21:27 GMT 2022","680","","TestAddNewBlogEntry","","TestAddNewBlogEntry","loginAsEditorTest","loginAsEditorTest()","User login as editor"
"broken","Thu Jun 23 09:21:28 GMT 2022","Thu Jun 23 09:21:28 GMT 2022","162","","TestUserRegister","","TestUserRegister","userRegistrationTest","userRegistrationTest()","Register a new user"
"skipped","Thu Jun 23 09:21:29 GMT 2022","Thu Jun 23 09:21:29 GMT 2022","0","","TestFrontPage","","TestFrontPage","checkTitles","checkTitles()","Check the titles of the blog entries"
"broken","Thu Jun 23 09:21:29 GMT 2022","Thu Jun 23 09:21:29 GMT 2022","141","","TestFrontPage","","TestFrontPage","allowCookies","allowCookies()","Allow cookies"
"broken","Thu Jun 23 09:21:29 GMT 2022","Thu Jun 23 09:21:29 GMT 2022","152","","TestFrontPage","","TestFrontPage","isAllImagePresent","isAllImagePresent()","Check all the team photos are present in the carousel"
"broken","Thu Jun 23 09:21:28 GMT 2022","Thu Jun 23 09:21:29 GMT 2022","156","","TestFrontPage","","TestFrontPage","findLogo","findLogo()","Find the logo on the main page"
"broken","Thu Jun 23 09:21:30 GMT 2022","Thu Jun 23 09:21:30 GMT 2022","135","","TestFU14TeamPage","","TestFU14TeamPage","teamMembersTest","teamMembersTest()","Test FU14 team members"
