"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 20:50:20 GMT 2022","Wed Jun 29 20:50:34 GMT 2022","13809","","AddNewBlogEntryTest","","AddNewBlogEntryTest","TestCreateBlogEntry","TestCreateBlogEntry()","Test Case 17"
"failed","Wed Jun 29 20:49:01 GMT 2022","Wed Jun 29 20:49:32 GMT 2022","30666","","BlogsPageTest","","BlogsPageTest","TestTitlesOfTheBlogEntries","TestTitlesOfTheBlogEntries()","Test Case 23"
"passed","Wed Jun 29 20:50:45 GMT 2022","Wed Jun 29 20:50:51 GMT 2022","6337","","FU14TeamPageTest","","FU14TeamPageTest","TestTeamMembers","TestTeamMembers()","Test Case 24"
"passed","Wed Jun 29 20:49:34 GMT 2022","Wed Jun 29 20:49:45 GMT 2022","10543","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestDeleteBlogEntry","TestDeleteBlogEntry()","Test Case 20"
"passed","Wed Jun 29 20:53:02 GMT 2022","Wed Jun 29 20:53:08 GMT 2022","6308","","UserLoginTest","","UserLoginTest","TestLogin","TestLogin()","Test Case TC14"
"passed","Wed Jun 29 20:47:50 GMT 2022","Wed Jun 29 20:47:56 GMT 2022","5607","","UserRegisterTest","","UserRegisterTest","TestOpenRegisterPage","TestOpenRegisterPage()","Test Case 08"
"passed","Wed Jun 29 20:51:57 GMT 2022","Wed Jun 29 20:52:15 GMT 2022","17521","","FrontPageTest","","FrontPageTest","TestFindLogo","TestFindLogo()","Test Case 02"
"passed","Wed Jun 29 20:48:22 GMT 2022","Wed Jun 29 20:48:32 GMT 2022","10387","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationFromFile","TestUserRegistrationFromFile()","Test Case 12"
"passed","Wed Jun 29 20:51:40 GMT 2022","Wed Jun 29 20:51:57 GMT 2022","16789","","FrontPageTest","","FrontPageTest","TestAllowCookies","TestAllowCookies()","Test Case 07"
"passed","Wed Jun 29 20:52:50 GMT 2022","Wed Jun 29 20:52:56 GMT 2022","5937","","UserLoginTest","","UserLoginTest","TestNavigateToLoginPage","TestNavigateToLoginPage()","Test Case 13"
"passed","Wed Jun 29 20:50:15 GMT 2022","Wed Jun 29 20:50:20 GMT 2022","5299","","AddNewBlogEntryTest","","AddNewBlogEntryTest","testLoginAsEditor","testLoginAsEditor()","Test Case 16"
"passed","Wed Jun 29 20:47:37 GMT 2022","Wed Jun 29 20:47:44 GMT 2022","6831","","UserRegisterTest","","UserRegisterTest","TestUserRegistrationWithoutFullName","TestUserRegistrationWithoutFullName()","Test Case 09"
"passed","Wed Jun 29 20:52:56 GMT 2022","Wed Jun 29 20:53:02 GMT 2022","6239","","UserLoginTest","","UserLoginTest","TestLoginRemember","TestLoginRemember()","Test Case 15"
"broken","Wed Jun 29 20:49:45 GMT 2022","Wed Jun 29 20:50:09 GMT 2022","24244","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestChangeBlogTitle","TestChangeBlogTitle()","Test Case 18"
"broken","Wed Jun 29 20:51:05 GMT 2022","Wed Jun 29 20:51:40 GMT 2022","35268","","FrontPageTest","","FrontPageTest","TestTitles","TestTitles()","Test Case 04"
"skipped","Wed Jun 29 20:50:51 GMT 2022","Wed Jun 29 20:50:51 GMT 2022","0","","FrontPageTest","","FrontPageTest","TestIsReadMoreWorks","TestIsReadMoreWorks()","Test Case 05"
"passed","Wed Jun 29 20:50:51 GMT 2022","Wed Jun 29 20:51:05 GMT 2022","13575","","FrontPageTest","","FrontPageTest","TestSiteURL","TestSiteURL()","Test Case 01"
"broken","Wed Jun 29 20:47:56 GMT 2022","Wed Jun 29 20:48:22 GMT 2022","26445","","UserRegisterTest","","UserRegisterTest","TestUserRegistration","TestUserRegistration()","Test Case 11"
"passed","Wed Jun 29 20:47:44 GMT 2022","Wed Jun 29 20:47:50 GMT 2022","6193","","UserRegisterTest","","UserRegisterTest","TestResetUserData","TestResetUserData()","Test Case 10"
"passed","Wed Jun 29 20:50:09 GMT 2022","Wed Jun 29 20:50:15 GMT 2022","5933","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestLogOutEditorUser","TestLogOutEditorUser()","Test Case 21"
"passed","Wed Jun 29 20:49:32 GMT 2022","Wed Jun 29 20:49:34 GMT 2022","2127","","EditBlogEntryPageTest","","EditBlogEntryPageTest","TestSaveBlogTitleAndDate","TestSaveBlogTitleAndDate()","Test Case 19"
"passed","Wed Jun 29 20:50:34 GMT 2022","Wed Jun 29 20:50:40 GMT 2022","5862","","FU14TeamPageTest","","FU14TeamPageTest","TestFu14AboutTeam","TestFu14AboutTeam()","Test Case 26"
"passed","Wed Jun 29 20:52:31 GMT 2022","Wed Jun 29 20:52:50 GMT 2022","18673","","FrontPageTest","","FrontPageTest","TestNumberOfBlogEntries","TestNumberOfBlogEntries()","Test Case 03"
"passed","Wed Jun 29 20:53:08 GMT 2022","Wed Jun 29 20:53:18 GMT 2022","9312","","SandBoxPageTest","","SandBoxPageTest","titleTest","titleTest()",""
"passed","Wed Jun 29 20:48:32 GMT 2022","Wed Jun 29 20:49:01 GMT 2022","28914","","BlogsPageTest","","BlogsPageTest","TestCountBlogEntries","TestCountBlogEntries()","Test Case 22"
"failed","Wed Jun 29 20:52:15 GMT 2022","Wed Jun 29 20:52:31 GMT 2022","16588","","FrontPageTest","","FrontPageTest","TestIsAllImagePresent","TestIsAllImagePresent()","Test Case 06"
"passed","Wed Jun 29 20:50:40 GMT 2022","Wed Jun 29 20:50:45 GMT 2022","5138","","FU14TeamPageTest","","FU14TeamPageTest","TestNumberOfTeamMembers","TestNumberOfTeamMembers()","Test Case 25"
